Regional,2018year,2019year,2020year,2021year,2022year,IR of mean
Baiyun District,580.21348,534.1356637,250,198.574472,196.8165197,351.9480271
Guanshanhu District,1074.801924,1519.354297,620.3112088,281.1886796,279.0662191,754.9444658
Huaxi District,742.1321673,805.428295,367.5494464,257.8823801,304.1485867,495.4281751
Kaiyang County,911.8563022,316.0603022,390.2246112,146.4754904,415.3640018,435.9961415
Nanming District,645.7783397,611.4298084,270.7653274,256.4440271,224.6097861,401.8054577
Qingzhen City,221.6062657,226.4759218,78.34590712,48.48272902,65.05460218,127.9930852
Wudang District,1046.644828,992.1043054,500.7672734,337.7283606,371.4285714,649.7346678
Xifeng County,697.1563032,338.2863462,152.153588,114.867321,211.7579909,302.8443099
Xiuwen County,383.1231026,933.0722677,373.079532,372.4530529,264.8261759,465.3108262
Yunyan District,797.2688021,762.3429098,343.8738755,291.7247814,307.8351281,500.6090994
