Date,Pressure(hPa),RH(%),WindSpeed(m/s),temperature_mean,temperature_min,temperature_max,petPM(mm),precipitation(mm)
2018/1/1,883.8933,85.64064,2.365618,4.1116295,1.8043655,6.4722586,31.057056,54.372723
2018/2/1,884.2621,75.446075,2.709109,6.6002865,3.3786874,10.12512,49.403645,7.756625
2018/3/1,881.6835,75.36954,2.812535,13.827972,10.101873,18.336075,86.66501,110.645615
2018/4/1,880.6257,74.000885,3.4291701,16.977962,13.164821,21.710484,108.66769,74.64855
2018/5/1,878.08777,77.98386,3.7377875,20.260782,16.84971,24.1833,118.54173,193.5668
2018/6/1,875.9916,81.314575,2.6313446,21.340252,18.51283,24.772621,104.33757,230.53307
2018/7/1,874.8013,74.008514,3.0215888,24.603472,21.086544,29.096342,137.15308,68.67139
2018/8/1,876.3941,78.60318,2.1741805,23.248188,19.813362,28.121117,121.95943,129.31914
2018/9/1,881.4077,81.736115,2.618557,19.951534,17.226387,23.50185,87.718445,181.42743
2018/10/1,886.4602,84.76268,2.0798857,13.698766,11.610771,16.166931,53.952087,48.270844
2018/11/1,885.75073,83.0403,2.3486266,10.330162,7.3723097,13.9766655,46.27611,43.622246
2018/12/1,886.5381,85.724625,2.5413976,4.780576,2.4781237,7.0864096,31.731853,18.717854
2019/1/1,886.50354,89.79374,2.3682523,4.632821,2.390059,6.988842,29.90403,51.314724
2019/2/1,882.8707,87.36818,2.7775905,5.393971,2.6532168,8.684294,40.669815,23.105476
2019/3/1,881.86145,78.11589,2.7245326,11.397285,7.8341265,15.208504,75.73776,43.60428
2019/4/1,879.02356,77.96808,3.1163604,17.535837,13.579512,22.489006,107.58247,115.35589
2019/5/1,878.74677,83.166756,2.5522332,17.80814,14.938459,21.266172,96.65918,190.2955
2019/6/1,875.29865,81.932465,2.7741065,22.155666,19.227116,25.872524,110.8883,250.66385
2019/7/1,875.3292,83.1503,2.6202881,22.933414,20.263815,26.63528,113.81526,203.95113
2019/8/1,877.3533,74.43315,2.3051615,23.897396,19.930195,29.254238,133.01773,59.409477
2019/9/1,883.3225,75.17998,2.6454344,20.52219,16.97525,25.202211,102.15599,96.41588
2019/10/1,884.9197,83.79785,2.5404584,16.265068,13.551174,19.633026,67.48314,136.78885
2019/11/1,886.1778,84.339,2.5336957,10.891945,8.285084,13.657022,43.608307,25.787148
2019/12/1,886.6984,80.48777,2.385766,7.270273,4.046076,10.916569,41.516846,13.119093
2020/1/1,882.6115,87.2426,2.9109046,5.986436,3.295614,9.026544,36.636494,61.627213
2020/2/1,883.8619,83.76915,2.7837734,8.921549,6.1778297,12.152882,48.85856,46.352806
2020/3/1,880.00476,79.36661,3.1568544,12.37484,9.100895,16.29046,78.57907,35.77049
2020/4/1,882.4689,77.44441,2.9936056,13.703247,10.348363,17.905975,91.061584,68.04694
2020/5/1,876.2417,74.81893,3.0609562,20.91367,17.169125,25.57624,129.50264,160.93814
2020/6/1,873.4905,82.68813,3.1014915,22.524107,19.85753,26.113312,109.94209,276.6223
2020/7/1,873.6399,79.37381,3.7058697,23.791143,21.163338,27.405289,122.99978,258.8927
2020/8/1,875.05945,74.40359,3.6395433,23.935703,20.571918,28.630629,132.48521,38.164856
2020/9/1,879.5367,89.481064,2.3369124,18.907413,16.874548,21.548792,69.26184,305.712
2020/10/1,884.30054,84.71841,2.6364112,14.2211275,11.618026,17.268436,59.106834,100.2496
2020/11/1,885.6112,78.6645,2.8781128,10.957451,7.4885054,14.994492,53.546005,16.568066
2020/12/1,885.92126,86.39288,2.4672518,3.335072,1.3521029,5.24833,26.756428,18.944878
2021/1/1,883.8381,79.5338,2.4367404,3.953978,0.88042307,7.1291056,37.114265,25.302711
2021/2/1,881.2931,83.22905,2.5426106,9.810247,6.8464293,13.331379,48.49391,38.68907
2021/3/1,879.3209,79.54782,3.0662909,12.920736,9.642514,16.814373,80.91504,15.357548
2021/4/1,879.95325,86.55223,2.804841,14.104883,11.439613,17.31738,75.91434,89.710754
2021/5/1,876.02295,81.099915,3.0129185,19.13559,16.080564,23.037304,109.69919,214.26334
2021/6/1,874.0094,78.34744,2.7418408,22.175415,19.000359,26.158184,115.3603,226.47556
2021/7/1,873.7234,77.17049,3.2006269,23.936646,20.671242,28.619267,136.23685,131.90881
2021/8/1,875.38574,76.7189,3.080781,23.94884,20.639156,28.40863,127.33217,128.28879
2021/9/1,879.52997,74.47006,3.2226105,22.608116,18.66131,27.862808,118.321365,88.76887
2021/10/1,883.8477,83.22887,3.06286,14.958828,12.645539,17.8704,66.92244,99.415405
2021/11/1,884.6133,80.24367,2.3495235,9.531448,6.6893063,12.743326,44.208084,30.601566
2021/12/1,886.16895,78.822556,2.365777,6.6035347,3.6423092,9.739689,38.718575,26.341356
2022/1/1,882.3903,90.60989,2.5005322,4.6413345,2.6207829,6.8068533,28.351276,51.27514
2022/2/1,882.99365,86.12016,2.8050642,2.8225477,0.6108935,5.4822617,32.98097,37.71588
2022/3/1,878.2178,78.10481,3.5767684,14.330686,10.549723,19.082022,90.0087,69.50334
2022/4/1,880.09,77.21181,3.2057552,14.9843645,11.328136,19.300848,94.260666,126.37665
2022/5/1,877.9381,84.42213,2.5995355,16.918316,14.163757,20.427479,92.58917,169.42685
2022/6/1,873.45764,83.92415,2.7967815,21.586512,19.059923,25.125418,105.33234,191.88947
2022/7/1,874.2285,75.23125,3.7155685,24.672348,21.065266,29.570099,147.9054,158.02802
2022/8/1,875.66785,69.71791,3.8054128,25.11617,21.077887,30.274044,151.17569,23.624228
2022/9/1,880.7539,76.408905,2.4573991,20.352013,17.041174,24.660158,98.91911,50.76965
2022/10/1,884.9052,71.43573,3.1292531,16.013954,12.933011,19.94374,84.51334,41.539837
2022/11/1,881.678,78.28421,3.0386844,13.842791,10.344037,18.25119,62.922523,10.700918
2022/12/1,885.38074,74.8581,2.484966,4.5449905,2.2074118,6.9885798,36.600246,16.688599
