,Date,Stat,P value,Pressure
0,2018-01-01,1719.6799,0.0,883.8933
1,2018-02-01,1859.1389,0.0,884.2621
2,2018-03-01,1725.8265,0.0,881.6835
3,2018-04-01,1766.3535,0.0,880.6257
4,2018-05-01,1817.1378,0.0,878.08777
5,2018-06-01,1762.2002,0.0,875.9916
6,2018-07-01,1753.1995,0.0,874.8013
7,2018-08-01,1767.4166,0.0,876.3941
8,2018-09-01,1780.4297,0.0,881.4077
9,2018-10-01,1745.3936,0.0,886.4602
10,2018-11-01,1878.1106,0.0,885.75073
11,2018-12-01,1845.0616,0.0,886.5381
12,2019-01-01,1755.9581,0.0,886.50354
13,2019-02-01,1778.6144,0.0,882.8707
14,2019-03-01,1762.5938,0.0,881.86145
15,2019-04-01,1840.3943,0.0,879.02356
16,2019-05-01,1736.2076,0.0,878.74677
17,2019-06-01,1742.9769,0.0,875.29865
18,2019-07-01,1780.7871,0.0,875.3292
19,2019-08-01,1702.0856,0.0,877.3533
20,2019-09-01,1757.2834,0.0,883.3225
21,2019-10-01,1784.1481,0.0,884.9197
22,2019-11-01,1802.842,0.0,886.1778
23,2019-12-01,1795.2399,0.0,886.6984
24,2020-01-01,1753.9448,0.0,882.6115
25,2020-02-01,1847.1772,0.0,883.8619
26,2020-03-01,1767.2948,0.0,880.00476
27,2020-04-01,1728.5431,0.0,882.4689
28,2020-05-01,1805.0139,0.0,876.2417
29,2020-06-01,1775.9435,0.0,873.4905
30,2020-07-01,1788.6038,0.0,873.6399
31,2020-08-01,1653.545,0.0,875.05945
32,2020-09-01,1740.0676,0.0,879.5367
33,2020-10-01,1743.0625,0.0,884.30054
34,2020-11-01,1759.3699,0.0,885.6112
35,2020-12-01,1697.186,0.0,885.92126
36,2021-01-01,1814.4965,0.0,883.8381
37,2021-02-01,1941.2643,0.0,881.2931
38,2021-03-01,1882.7517,0.0,879.3209
39,2021-04-01,1819.217,0.0,879.95325
40,2021-05-01,1926.0844,0.0,876.02295
41,2021-06-01,1897.8354,0.0,874.0094
42,2021-07-01,1929.5957,0.0,873.7234
43,2021-08-01,1881.587,0.0,875.38574
44,2021-09-01,1970.8972,0.0,879.52997
45,2021-10-01,1926.8555,0.0,883.8477
46,2021-11-01,1937.9905,0.0,884.6133
47,2021-12-01,1919.844,0.0,886.16895
48,2022-01-01,1754.4019,0.0,882.3903
49,2022-02-01,1810.9663,0.0,882.99365
50,2022-03-01,1870.6337,0.0,878.2178
51,2022-04-01,1829.3448,0.0,880.09
52,2022-05-01,1761.9612,0.0,877.9381
53,2022-06-01,1823.9257,0.0,873.45764
54,2022-07-01,1840.5637,0.0,874.2285
55,2022-08-01,1793.0659,0.0,875.66785
56,2022-09-01,1848.36,0.0,880.7539
57,2022-10-01,1891.7958,0.0,884.9052
58,2022-11-01,1975.0364,0.0,881.678
59,2022-12-01,1919.0005,0.0,885.38074
