,Date,Stat,P value,RH
0,2018-01-01,2417.9065,0.0,85.64064
1,2018-02-01,43200.953,0.0,75.446075
2,2018-03-01,729.9454,0.0,75.36954
3,2018-04-01,66.056755,4.5285367e-15,74.000885
4,2018-05-01,750.622,0.0,77.98386
5,2018-06-01,538.3399,0.0,81.314575
6,2018-07-01,151.38766,1.3384011e-33,74.008514
7,2018-08-01,1488.429,0.0,78.60318
8,2018-09-01,918.57574,0.0,81.736115
9,2018-10-01,3780.1897,0.0,84.76268
10,2018-11-01,41864.434,0.0,83.0403
11,2018-12-01,2011.9529,0.0,85.724625
12,2019-01-01,853.21906,0.0,89.79374
13,2019-02-01,362.89932,0.0,87.36818
14,2019-03-01,766.762,0.0,78.11589
15,2019-04-01,809.3951,0.0,77.96808
16,2019-05-01,2261.1814,0.0,83.166756
17,2019-06-01,1183.1625,0.0,81.932465
18,2019-07-01,636.33435,0.0,83.1503
19,2019-08-01,1013.89526,0.0,74.43315
20,2019-09-01,31.256462,1.6320952e-07,75.17998
21,2019-10-01,8107.912,0.0,83.79785
22,2019-11-01,1654.3579,0.0,84.339
23,2019-12-01,2400.2478,0.0,80.48777
24,2020-01-01,1357.5101,0.0,87.2426
25,2020-02-01,1521.9365,0.0,83.76915
26,2020-03-01,1637.5955,0.0,79.36661
27,2020-04-01,1059.2101,0.0,77.44441
28,2020-05-01,2392.902,0.0,74.81893
29,2020-06-01,525.81934,0.0,82.68813
30,2020-07-01,302.4878,0.0,79.37381
31,2020-08-01,1088.5063,0.0,74.40359
32,2020-09-01,4012.261,0.0,89.481064
33,2020-10-01,84580.49,0.0,84.71841
34,2020-11-01,5600.4517,0.0,78.6645
35,2020-12-01,5124.702,0.0,86.39288
36,2021-01-01,453.92377,0.0,79.5338
37,2021-02-01,379.15668,0.0,83.22905
38,2021-03-01,1138.9496,0.0,79.54782
39,2021-04-01,240.12634,0.0,86.55223
40,2021-05-01,630.3276,0.0,81.099915
41,2021-06-01,623.8689,0.0,78.34744
42,2021-07-01,373.9948,0.0,77.17049
43,2021-08-01,668.5942,0.0,76.7189
44,2021-09-01,214.92137,0.0,74.47006
45,2021-10-01,369.3314,0.0,83.22887
46,2021-11-01,7126.5566,0.0,80.24367
47,2021-12-01,516.7622,0.0,78.822556
48,2022-01-01,2158.7053,0.0,90.60989
49,2022-02-01,339.27518,0.0,86.12016
50,2022-03-01,93.30372,5.4872524e-21,78.10481
51,2022-04-01,415.20456,0.0,77.21181
52,2022-05-01,487.09186,0.0,84.42213
53,2022-06-01,959.1211,0.0,83.92415
54,2022-07-01,720.15063,0.0,75.23125
55,2022-08-01,2966.9734,0.0,69.71791
56,2022-09-01,857.981,0.0,76.408905
57,2022-10-01,300.6716,0.0,71.43573
58,2022-11-01,1873.8699,0.0,78.28421
59,2022-12-01,1213.8556,0.0,74.8581
