,Date,Stat,P value,petPM
0,2018-01-01,4360.088,0.0,31.057056
1,2018-02-01,205057.64,0.0,49.403645
2,2018-03-01,1594.1036,0.0,86.66501
3,2018-04-01,765.4277,0.0,108.66769
4,2018-05-01,1383.1459,0.0,118.54173
5,2018-06-01,2367.3225,0.0,104.33757
6,2018-07-01,1073.3279,0.0,137.15308
7,2018-08-01,2052.515,0.0,121.95943
8,2018-09-01,536.8577,0.0,87.718445
9,2018-10-01,4717.238,0.0,53.952087
10,2018-11-01,179706.4,0.0,46.27611
11,2018-12-01,9172.036,0.0,31.731853
12,2019-01-01,3502.6748,0.0,29.90403
13,2019-02-01,9845.496,0.0,40.669815
14,2019-03-01,3151.5537,0.0,75.73776
15,2019-04-01,4353.192,0.0,107.58247
16,2019-05-01,1813.3922,0.0,96.65918
17,2019-06-01,1055.9788,0.0,110.8883
18,2019-07-01,1011.3213,0.0,113.81526
19,2019-08-01,1000.2393,0.0,133.01773
20,2019-09-01,865.64496,0.0,102.15599
21,2019-10-01,246.17134,0.0,67.48314
22,2019-11-01,1784.9321,0.0,43.608307
23,2019-12-01,15172.937,0.0,41.516846
24,2020-01-01,9207.128,0.0,36.636494
25,2020-02-01,5518.7207,0.0,48.85856
26,2020-03-01,9565.358,0.0,78.57907
27,2020-04-01,968.1237,0.0,91.061584
28,2020-05-01,1346.0956,0.0,129.50264
29,2020-06-01,331.38626,0.0,109.94209
30,2020-07-01,1099.7554,0.0,122.99978
31,2020-08-01,5219.4053,0.0,132.48521
32,2020-09-01,97.066864,8.359846e-22,69.26184
33,2020-10-01,5885.7476,0.0,59.106834
34,2020-11-01,4616.027,0.0,53.546005
35,2020-12-01,11752.331,0.0,26.756428
36,2021-01-01,1690.0073,0.0,37.114265
37,2021-02-01,3974.7786,0.0,48.49391
38,2021-03-01,7124.8877,0.0,80.91504
39,2021-04-01,4477.423,0.0,75.91434
40,2021-05-01,317.28717,0.0,109.69919
41,2021-06-01,1369.0952,0.0,115.3603
42,2021-07-01,864.4856,0.0,136.23685
43,2021-08-01,590.48663,0.0,127.33217
44,2021-09-01,1143.5651,0.0,118.321365
45,2021-10-01,27.81504,9.1209625e-07,66.92244
46,2021-11-01,133286.61,0.0,44.208084
47,2021-12-01,2254.311,0.0,38.718575
48,2022-01-01,724.4996,0.0,28.351276
49,2022-02-01,1118.2816,0.0,32.98097
50,2022-03-01,354.69342,0.0,90.0087
51,2022-04-01,708.45013,0.0,94.260666
52,2022-05-01,180.43872,6.58006e-40,92.58917
53,2022-06-01,1192.9539,0.0,105.33234
54,2022-07-01,1306.4519,0.0,147.9054
55,2022-08-01,5154.77,0.0,151.17569
56,2022-09-01,573.90796,0.0,98.91911
57,2022-10-01,107.683716,4.137883e-24,84.51334
58,2022-11-01,3517.1497,0.0,62.922523
59,2022-12-01,4355.6846,0.0,36.600246
