,Date,Stat,P value,temperature_max
0,2018-01-01,882.4547,0.0,6.4722586
1,2018-02-01,1153.4673,0.0,10.12512
2,2018-03-01,105.30672,1.3581163e-23,18.336075
3,2018-04-01,1135.9165,0.0,21.710484
4,2018-05-01,1306.8904,0.0,24.1833
5,2018-06-01,1714.6714,0.0,24.772621
6,2018-07-01,1381.9463,0.0,29.096342
7,2018-08-01,1436.2579,0.0,28.121117
8,2018-09-01,647.1819,0.0,23.50185
9,2018-10-01,957.76685,0.0,16.166931
10,2018-11-01,1593.7362,0.0,13.9766655
11,2018-12-01,585.6884,0.0,7.0864096
12,2019-01-01,5233.6304,0.0,6.988842
13,2019-02-01,2931.85,0.0,8.684294
14,2019-03-01,948.0713,0.0,15.208504
15,2019-04-01,778.74304,0.0,22.489006
16,2019-05-01,220.7611,0.0,21.266172
17,2019-06-01,1190.8306,0.0,25.872524
18,2019-07-01,1208.2618,0.0,26.63528
19,2019-08-01,1093.4045,0.0,29.254238
20,2019-09-01,753.40643,0.0,25.202211
21,2019-10-01,1384.0923,0.0,19.633026
22,2019-11-01,600.4363,0.0,13.657022
23,2019-12-01,588.944,0.0,10.916569
24,2020-01-01,4388.409,0.0,9.026544
25,2020-02-01,324.86548,0.0,12.152882
26,2020-03-01,1767.3348,0.0,16.29046
27,2020-04-01,354.13745,0.0,17.905975
28,2020-05-01,34.010765,4.117714e-08,25.57624
29,2020-06-01,1471.3811,0.0,26.113312
30,2020-07-01,1623.5767,0.0,27.405289
31,2020-08-01,1145.7937,0.0,28.630629
32,2020-09-01,651.7699,0.0,21.548792
33,2020-10-01,521.48114,0.0,17.268436
34,2020-11-01,122.11761,3.0373758e-27,14.994492
35,2020-12-01,1422.3168,0.0,5.24833
36,2021-01-01,304.4067,0.0,7.1291056
37,2021-02-01,691.72705,0.0,13.331379
38,2021-03-01,120.93288,5.4923666e-27,16.814373
39,2021-04-01,1110.1876,0.0,17.31738
40,2021-05-01,433.7624,0.0,23.037304
41,2021-06-01,2045.3813,0.0,26.158184
42,2021-07-01,1778.141,0.0,28.619267
43,2021-08-01,1158.358,0.0,28.40863
44,2021-09-01,1197.4078,0.0,27.862808
45,2021-10-01,583.22485,0.0,17.8704
46,2021-11-01,785.11035,0.0,12.743326
47,2021-12-01,640.7298,0.0,9.739689
48,2022-01-01,163.65599,2.9010363e-36,6.8068533
49,2022-02-01,448.2021,0.0,5.4822617
50,2022-03-01,24.88285,3.9514603e-06,19.082022
51,2022-04-01,301.30795,0.0,19.300848
52,2022-05-01,1080.7184,0.0,20.427479
53,2022-06-01,1782.8044,0.0,25.125418
54,2022-07-01,1528.1554,0.0,29.570099
55,2022-08-01,1110.0751,0.0,30.274044
56,2022-09-01,685.7682,0.0,24.660158
57,2022-10-01,733.0233,0.0,19.94374
58,2022-11-01,273.4209,0.0,18.25119
59,2022-12-01,818.5598,0.0,6.9885798
