,Date,Stat,P value,temperature_mean
0,2018-01-01,524.8496,0.0,4.1116295
1,2018-02-01,783.01306,0.0,6.6002865
2,2018-03-01,106.446335,7.681961e-24,13.827972
3,2018-04-01,1433.4365,0.0,16.977962
4,2018-05-01,1289.7937,0.0,20.260782
5,2018-06-01,1611.2612,0.0,21.340252
6,2018-07-01,1435.3843,0.0,24.603472
7,2018-08-01,1443.0846,0.0,23.248188
8,2018-09-01,720.2773,0.0,19.951534
9,2018-10-01,768.0845,0.0,13.698766
10,2018-11-01,535.1938,0.0,10.330162
11,2018-12-01,358.14893,0.0,4.780576
12,2019-01-01,1678.8624,0.0,4.632821
13,2019-02-01,715.4077,0.0,5.393971
14,2019-03-01,489.1303,0.0,11.397285
15,2019-04-01,47.41539,5.0568362e-11,17.535837
16,2019-05-01,455.65204,0.0,17.80814
17,2019-06-01,1151.8003,0.0,22.155666
18,2019-07-01,998.6447,0.0,22.933414
19,2019-08-01,1296.8798,0.0,23.897396
20,2019-09-01,1027.3787,0.0,20.52219
21,2019-10-01,1826.1335,0.0,16.265068
22,2019-11-01,618.2557,0.0,10.891945
23,2019-12-01,1415.3732,0.0,7.270273
24,2020-01-01,1288.5459,0.0,5.986436
25,2020-02-01,704.7122,0.0,8.921549
26,2020-03-01,887.7772,0.0,12.37484
27,2020-04-01,600.5047,0.0,13.703247
28,2020-05-01,528.7872,0.0,20.91367
29,2020-06-01,1469.7927,0.0,22.524107
30,2020-07-01,1473.0787,0.0,23.791143
31,2020-08-01,1526.7332,0.0,23.935703
32,2020-09-01,490.8239,0.0,18.907413
33,2020-10-01,1079.7979,0.0,14.2211275
34,2020-11-01,527.235,0.0,10.957451
35,2020-12-01,398.77103,0.0,3.335072
36,2021-01-01,1073.114,0.0,3.953978
37,2021-02-01,471.33093,0.0,9.810247
38,2021-03-01,149.173,4.050361e-33,12.920736
39,2021-04-01,419.5056,0.0,14.104883
40,2021-05-01,939.76605,0.0,19.13559
41,2021-06-01,2002.5385,0.0,22.175415
42,2021-07-01,1813.048,0.0,23.936646
43,2021-08-01,1360.3032,0.0,23.94884
44,2021-09-01,1453.0691,0.0,22.608116
45,2021-10-01,1542.5055,0.0,14.958828
46,2021-11-01,384.55945,0.0,9.531448
47,2021-12-01,2020.2124,0.0,6.6035347
48,2022-01-01,550.3746,0.0,4.6413345
49,2022-02-01,678.97754,0.0,2.8225477
50,2022-03-01,362.6573,0.0,14.330686
51,2022-04-01,1445.5193,0.0,14.9843645
52,2022-05-01,2025.5934,0.0,16.918316
53,2022-06-01,1599.6744,0.0,21.586512
54,2022-07-01,1341.3478,0.0,24.672348
55,2022-08-01,1369.5824,0.0,25.11617
56,2022-09-01,928.42505,0.0,20.352013
57,2022-10-01,1358.4618,0.0,16.013954
58,2022-11-01,848.38306,0.0,13.842791
59,2022-12-01,1192.5388,0.0,4.5449905
