,Date,Stat,P value,temperature_min
0,2018-01-01,241.81812,0.0,1.8043655
1,2018-02-01,657.89636,0.0,3.3786874
2,2018-03-01,505.85477,0.0,10.101873
3,2018-04-01,1701.1289,0.0,13.164821
4,2018-05-01,1053.8994,0.0,16.84971
5,2018-06-01,1223.8694,0.0,18.51283
6,2018-07-01,1433.8076,0.0,21.086544
7,2018-08-01,1241.3861,0.0,19.813362
8,2018-09-01,747.11505,0.0,17.226387
9,2018-10-01,697.2767,0.0,11.610771
10,2018-11-01,1644.9618,0.0,7.3723097
11,2018-12-01,907.52655,0.0,2.4781237
12,2019-01-01,350.82288,0.0,2.390059
13,2019-02-01,636.1632,0.0,2.6532168
14,2019-03-01,454.9941,0.0,7.8341265
15,2019-04-01,315.59775,0.0,13.579512
16,2019-05-01,652.97925,0.0,14.938459
17,2019-06-01,911.50336,0.0,19.227116
18,2019-07-01,857.19666,0.0,20.263815
19,2019-08-01,1189.9263,0.0,19.930195
20,2019-09-01,1456.8389,0.0,16.97525
21,2019-10-01,1242.7477,0.0,13.551174
22,2019-11-01,729.80383,0.0,8.285084
23,2019-12-01,3544.7002,0.0,4.046076
24,2020-01-01,407.0561,0.0,3.295614
25,2020-02-01,1114.16,0.0,6.1778297
26,2020-03-01,562.27747,0.0,9.100895
27,2020-04-01,959.396,0.0,10.348363
28,2020-05-01,427.09692,0.0,17.169125
29,2020-06-01,658.5122,0.0,19.85753
30,2020-07-01,841.7763,0.0,21.163338
31,2020-08-01,1652.8668,0.0,20.571918
32,2020-09-01,783.5301,0.0,16.874548
33,2020-10-01,1092.4056,0.0,11.618026
34,2020-11-01,1061.7891,0.0,7.4885054
35,2020-12-01,1336.6007,0.0,1.3521029
36,2021-01-01,1898.4365,0.0,0.88042307
37,2021-02-01,1608.1603,0.0,6.8464293
38,2021-03-01,660.18036,0.0,9.642514
39,2021-04-01,611.8701,0.0,11.439613
40,2021-05-01,983.0691,0.0,16.080564
41,2021-06-01,1899.6722,0.0,19.000359
42,2021-07-01,1434.6378,0.0,20.671242
43,2021-08-01,988.1812,0.0,20.639156
44,2021-09-01,1597.2897,0.0,18.66131
45,2021-10-01,1698.4052,0.0,12.645539
46,2021-11-01,474.1164,0.0,6.6893063
47,2021-12-01,2145.9045,0.0,3.6423092
48,2022-01-01,953.1071,0.0,2.6207829
49,2022-02-01,1758.9166,0.0,0.6108935
50,2022-03-01,603.90265,0.0,10.549723
51,2022-04-01,1586.7336,0.0,11.328136
52,2022-05-01,1868.9202,0.0,14.163757
53,2022-06-01,1183.465,0.0,19.059923
54,2022-07-01,1047.0023,0.0,21.065266
55,2022-08-01,1488.5251,0.0,21.077887
56,2022-09-01,1114.071,0.0,17.041174
57,2022-10-01,1874.4199,0.0,12.933011
58,2022-11-01,1055.8334,0.0,10.344037
59,2022-12-01,1810.0472,0.0,2.2074118
