,season_node,initial_si,si
0,1,-36.080200476179414,-35.556268826588706
1,2,-36.74730448646783,-36.223372836877125
2,3,-23.565526049886145,-23.041594400295438
3,4,22.50176347536068,23.025695124951387
4,5,71.86471651919707,72.38864816878778
5,6,21.65183761230547,22.17576926189618
6,7,25.75917160967645,26.283103259267158
7,8,-12.055820059913959,-11.531888410323251
8,9,-21.840840309649032,-21.316908660058324
9,10,-10.849438064575263,-10.325506414984556
10,11,-1.4290288689647412,-0.9050972193740332
11,12,-5.49651069599177,-4.972579046401062
