,PACF,95%CI
0,1.0,[1. 1.]
1,0.7081464117824053,[0.45511615 0.96117667]
2,-0.49636226429651353,[-0.74939253 -0.243332  ]
3,-0.06296096418616667,[-0.31599123  0.1900693 ]
4,0.19157568472421146,[-0.06145458  0.44460595]
5,0.11027829341988588,[-0.14275197  0.36330856]
6,-0.18142508614657823,[-0.43445535  0.07160518]
7,-0.11830106529139081,[-0.37133133  0.1347292 ]
8,-0.0420030660619388,[-0.29503333  0.2110272 ]
9,0.17650585954289533,[-0.0765244   0.42953612]
10,0.11377872373950218,[-0.13925154  0.36680899]
11,0.06618978360391209,[-0.18684048  0.31922005]
12,0.12769220798554862,[-0.12533805  0.38072247]
13,-0.21006796671412512,[-0.46309823  0.0429623 ]
14,0.09549906131824124,[-0.1575312   0.34852932]
15,0.21058000173190428,[-0.04245026  0.46361026]
16,0.0391441228415634,[-0.21388614  0.29217439]
17,-0.22289176523229542,[-0.47592203  0.0301385 ]
18,-0.18740237644743388,[-0.44043264  0.06562789]
19,0.2838751394161848,[0.03084488 0.5369054 ]
20,0.1927046524252643,[-0.06032561  0.44573491]
21,-0.3004026659524241,[-0.55343293 -0.0473724 ]
22,-0.26725098826944266,[-0.52028125 -0.01422073]
23,0.051317833911481724,[-0.20171243  0.3043481 ]
24,-0.04102233214474027,[-0.29405259  0.21200793]
25,-0.01291819384774982,[-0.26594846  0.24011207]
26,0.17577088669203486,[-0.07725938  0.42880115]
27,0.07351807963173385,[-0.17951218  0.32654834]
28,-0.5203080208159777,[-0.77333828 -0.26727776]
29,0.3393133549569166,[0.08628309 0.59234362]
30,-0.11890672506074511,[-0.37193699  0.13412354]
