,ACF,95%CI
0,1.0,[1. 1.]
1,0.6963439715860318,[0.44331371 0.94937423]
2,0.2455531754081029,[-0.10957278  0.60067913]
3,-0.10068155923923972,[-0.46651664  0.26515353]
4,-0.1782888672600907,[-0.5458937   0.18931596]
5,-0.04818274832673711,[-0.42128271  0.32491721]
6,0.05741402033297531,[-0.31608411  0.43091215]
7,0.0318927074539646,[-0.34217006  0.40595547]
8,-0.09090035519365264,[-0.46513717  0.28333646]
9,-0.13635176456403272,[-0.51199953  0.239296  ]
10,-0.03972844249679566,[-0.41853169  0.33907481]
11,0.13500506097840873,[-0.24406486  0.51407498]
12,0.2782984311034366,[-0.1038375   0.66043436]
13,0.22013250389581515,[-0.17476652  0.61503152]
14,0.06966378952275327,[-0.33301506  0.47234264]
15,-0.022569353694737566,[-0.42601908  0.38088037]
16,0.0016383612314497472,[-0.40189219  0.40516891]
17,0.05864487347455055,[-0.34488611  0.46217585]
18,0.03310163896182296,[-0.37097464  0.43717792]
19,-0.02750934574298328,[-0.4317592   0.37674051]
20,-0.07571237552994316,[-0.48008207  0.32865731]
21,-0.07672196462163214,[-0.48199825  0.32855432]
22,-0.03110853482487664,[-0.43731365  0.37509658]
23,-0.003099165328465042,[-0.40945678  0.40325845]
24,-0.03792569921260203,[-0.44428483  0.36843343]
25,-0.10306462830787289,[-0.50965032  0.30352106]
26,-0.11214104196214492,[-0.52039598  0.2961139 ]
27,-0.03405105428752073,[-0.44427342  0.37617131]
28,0.05583203745958262,[-0.35457125  0.46623532]
29,0.124090798817466,[-0.28679849  0.53498009]
30,0.028015198730757192,[-0.38526651  0.44129691]
