,index,PDP,PDP 95CI,RR,RR 95CI
0,873.45764,-0.3679226991627799,[-0.49061958 -0.24522582],0.6921706849942278,[0.61224694 0.78252781]
1,873.591385050505,-0.3186622819075458,[-0.4362894  -0.20103516],0.7271210697863221,[0.64643062 0.81788368]
2,873.7251301010101,-0.23403753837622568,[-0.3421978  -0.12587728],0.7913321100155669,[0.71020772 0.88172304]
3,873.8588751515151,-0.12199494508747995,[-0.22073207 -0.02325782],0.8851528428615059,[0.80193151 0.97701056]
4,873.9926202020201,0.00951902144023875,[-0.0834827   0.10252074],1.0095644714234804,[0.919907   1.10796028]
5,874.1263652525253,0.15255788468854406,[0.06054349 0.24457228],1.164809884800619,[1.0624138  1.27707496]
6,874.2601103030303,0.2991735926456858,[0.20557425 0.39277293],1.3487437351456266,[1.22823017 1.48108205]
7,874.3938553535353,0.4409575825342868,[0.34568212 0.53623305],1.5541947759404802,[1.41295339 1.70955491]
8,874.5276004040404,0.5684034063688711,[0.47093071 0.6658761 ],1.7654461000770092,[1.60148401 1.94619484]
9,874.6613454545454,0.671844499394521,[0.57099573 0.77269327],1.9578452365670804,[1.77002864 2.16559093]
10,874.7950905050504,0.7416142968566578,[0.63664716 0.84658144],2.099321709033415,[1.89013293 2.33166228]
11,874.9288355555556,0.7680462340005889,[0.65976545 0.87632702],2.1555506953599237,[1.93433858 2.40206076]
12,875.0625806060606,0.7416706193516619,[0.63283308 0.85050816],2.099439951399705,[1.88293754 2.34083607]
13,875.1963256565656,0.6633198849765131,[0.55693021 0.76970956],1.941226296503347,[1.74530654 2.15913907]
14,875.3300707070707,0.5489820597073496,[0.44584392 0.6521202 ],1.7314895674790265,[1.56180768 1.91960646]
15,875.4638157575757,0.41585831282023183,[0.31478516 0.51693147],1.5156711024921388,[1.36996495 1.6768742 ]
16,875.5975608080807,0.28114981359092933,[0.18037067 0.38192896],1.324652039949517,[1.19766122 1.46510799]
17,875.7313058585859,0.1620577312952059,[0.06092975 0.26318571],1.1759281272152637,[1.06282425 1.30106832]
18,875.8650509090909,0.07518411275288671,[-0.02494315  0.17531138],1.0780826213728572,[0.97536536 1.1916172 ]
19,875.9987959595959,0.025082808338313195,[-0.07238565  0.12255127],1.02540002868131,[0.93017211 1.13037707]
20,876.132541010101,0.005149526329350857,[-0.08956927  0.09986832],1.0051628079282537,[0.91432493 1.1050254 ]
21,876.266286060606,0.008359192153974584,[-0.0846932   0.10141159],1.0083942277557754,[0.91879412 1.10673206]
22,876.400031111111,0.027686731240101452,[-0.06461802  0.11999148],1.0280735706374085,[0.93742547 1.12748725]
23,876.5337761616162,0.056107069015703455,[-0.03493113  0.14714527],1.057710925741866,[0.96567192 1.15852225]
24,876.6675212121212,0.0870336371777621,[-0.00078584  0.17485311],1.0909333750209733,[0.99921447 1.19107125]
25,876.8012662626262,0.1183149218590169,[0.03414875 0.20248109],1.1255985311390795,[1.03473851 1.22443694]
26,876.9350113131313,0.1503746184623001,[0.0673287  0.23342053],1.1622695688212463,[1.06964702 1.26291247]
27,877.0687563636363,0.18366814304061407,[0.09802278 0.26931351],1.2016169919612192,[1.10298791 1.30906548]
28,877.2025014141414,0.2186509116470426,[0.12829574 0.30900608],1.2443967964278537,[1.13688918 1.36207065]
29,877.3362464646465,0.2557783403346746,[0.16167432 0.34988237],1.2914664301938492,[1.17547734 1.41890063]
30,877.4699915151515,0.2952672776991053,[0.20038251 0.39015204],1.343485394388015,[1.22187005 1.47720538]
31,877.6037365656565,0.3359725818859039,[0.24162648 0.43031868],1.3993006580998628,[1.27331849 1.5377475 ]
32,877.7374816161616,0.3762665332534847,[0.28116892 0.47136415],1.4568353771017593,[1.32467735 1.60217831]
33,877.8712266666666,0.4145208466669262,[0.31653591 0.51250578],1.5136452987169857,[1.37236552 1.66946929]
34,878.0049717171717,0.4491072369914113,[0.34771143 0.55050304],1.5669126791917247,[1.41582363 1.73412513]
35,878.1387167676768,0.47839742855474415,[0.37605867 0.58073618],1.613486601624019,[1.45653259 1.78735377]
36,878.2724618181818,0.5008182939149957,[0.40165573 0.59998085],1.6500709614300084,[1.49429681 1.82208391]
37,878.4062068686868,0.5149817285108627,[0.42028629 0.60967717],1.6736079222091922,[1.52239734 1.83983735]
38,878.5399519191919,0.5195383867294477,[0.4267328  0.61234398],1.681251382595732,[1.53224318 1.84475039]
39,878.673696969697,0.513138922957845,[0.41764404 0.60863381],1.670526628221395,[1.51838009 1.83791873]
40,878.807442020202,0.4944339915831654,[0.39296244 0.59590554],1.6395699659759062,[1.48136275 1.81467347]
41,878.9411870707071,0.4620859743067525,[0.35474698 0.56942497],1.5873817714064815,[1.42581984 1.76725054]
42,879.0749321212121,0.4164073225962096,[0.30571902 0.52709562],1.516503449206909,[1.3576008  1.69400512]
43,879.2086771717171,0.3610476417870828,[0.24908756 0.47300773],1.434831817202169,[1.28285435 1.60481378]
44,879.3424222222222,0.30005911392518886,[0.18785397 0.41226426],1.3499386053871274,[1.2066573  1.51023347]
45,879.4761672727273,0.2374939210565048,[0.12551038 0.34947746],1.268067288257896,[1.13372693 1.41832623]
46,879.6099123232323,0.17740424522685025,[0.0662855  0.28852299],1.1941137103404358,[1.06853174 1.33445503]
47,879.7436573737374,0.12374774265134901,[0.01458461 0.23291087],1.1317303476911165,[1.01469149 1.26226897]
48,879.8774024242424,0.0770504787465946,[-0.03003685  0.1841378 ],1.080096596938939,[0.97040978 1.20218148]
49,880.0111474747474,0.033516511340266945,[-0.07357841  0.14061144],1.0340845177066575,[0.92906329 1.15097733]
50,880.1448925252525,-0.010925687252204656,[-0.12097825  0.09912688],0.989133781293473,[0.88605323 1.10420639]
51,880.2786375757576,-0.06034764471527942,[-0.17516623  0.05447094],0.9414371910238629,[0.83931749 1.05598179]
52,880.4123826262626,-0.11882088873352514,[-0.23805963  0.00041785],0.8879668313831937,[0.78815569 1.00041794]
53,880.5461276767677,-0.1899747702109858,[-0.31206391 -0.06788563],0.8269799982110345,[0.73193475 0.93436734]
54,880.6798727272727,-0.2705039816020913,[-0.39587133 -0.14513663],0.7629948620482334,[0.6730933  0.86490411]
55,880.8136177777777,-0.3515972300899959,[-0.48351319 -0.21968127],0.7035634390997532,[0.6166133  0.80277462]
56,880.9473628282828,-0.4242915562221228,[-0.5662332  -0.28234991],0.6542331083661403,[0.56765968 0.7540098 ]
57,881.0811078787879,-0.4796240005457109,[-0.63236921 -0.32687879],0.6190160977696992,[0.53133147 0.72117115]
