,meteorological_lag_var,spearman_corr,raw_p_value,bonferroni_p_value,alphacSidak,alphacBonf,abs_spearman_corr,is_significant
Pressure(hPa)_lag0,Pressure(hPa)_lag0,-0.23356608939063034,0.07763771024160429,1.0,0.002134938369701578,0.0020833333333333333,0.23356608939063034,False
Pressure(hPa)_lag1,Pressure(hPa)_lag1,-0.21234119782214156,0.10954375444053564,1.0,0.002134938369701578,0.0020833333333333333,0.21234119782214156,False
Pressure(hPa)_lag2,Pressure(hPa)_lag2,-0.1791811498354302,0.17836120902720917,1.0,0.002134938369701578,0.0020833333333333333,0.1791811498354302,False
RH(%)_lag0,RH(%)_lag0,0.1479897874434772,0.26758554757084785,1.0,0.002134938369701578,0.0020833333333333333,0.1479897874434772,False
RH(%)_lag1,RH(%)_lag1,0.10689347565289614,0.42449508247691314,1.0,0.002134938369701578,0.0020833333333333333,0.10689347565289614,False
RH(%)_lag2,RH(%)_lag2,0.020948045156725832,0.8759701692098822,1.0,0.002134938369701578,0.0020833333333333333,0.020948045156725832,False
WindSpeed(m/s)_lag0,WindSpeed(m/s)_lag0,-0.08917530530007076,0.5056137228699731,1.0,0.002134938369701578,0.0020833333333333333,0.08917530530007076,False
WindSpeed(m/s)_lag1,WindSpeed(m/s)_lag1,-0.02494693777107878,0.8525363251539183,1.0,0.002134938369701578,0.0020833333333333333,0.02494693777107878,False
WindSpeed(m/s)_lag2,WindSpeed(m/s)_lag2,0.04740225783629149,0.7238298515516448,1.0,0.002134938369701578,0.0020833333333333333,0.04740225783629149,False
temperature_mean_lag0,temperature_mean_lag0,0.2955181642006829,0.024311751173910674,0.5834820281738562,0.002134938369701578,0.0020833333333333333,0.2955181642006829,False
temperature_mean_lag1,temperature_mean_lag1,0.18453351379617952,0.16552891963732394,1.0,0.002134938369701578,0.0020833333333333333,0.18453351379617952,False
temperature_mean_lag2,temperature_mean_lag2,0.04549509366636932,0.7345242030054389,1.0,0.002134938369701578,0.0020833333333333333,0.04549509366636932,False
temperature_min_lag0,temperature_min_lag0,0.30776092774308655,0.01876483217757801,0.45035597226187224,0.002134938369701578,0.0020833333333333333,0.30776092774308655,False
temperature_min_lag1,temperature_min_lag1,0.19936017718170354,0.13352720253506917,1.0,0.002134938369701578,0.0020833333333333333,0.19936017718170354,False
temperature_min_lag2,temperature_min_lag2,0.050416807653265255,0.7070330616831877,1.0,0.002134938369701578,0.0020833333333333333,0.050416807653265255,False
temperature_max_lag0,temperature_max_lag0,0.27023285859300505,0.040211222173618805,0.9650693321668513,0.002134938369701578,0.0020833333333333333,0.27023285859300505,False
temperature_max_lag1,temperature_max_lag1,0.17327509305115507,0.19333999050042344,1.0,0.002134938369701578,0.0020833333333333333,0.17327509305115507,False
temperature_max_lag2,temperature_max_lag2,0.0539235288689286,0.6876675969622646,1.0,0.002134938369701578,0.0020833333333333333,0.0539235288689286,False
petPM(mm)_lag0,petPM(mm)_lag0,0.2632194161616783,0.04589716124418507,1.0,0.002134938369701578,0.0020833333333333333,0.2632194161616783,False
petPM(mm)_lag1,petPM(mm)_lag1,0.19259282044972165,0.14750156622820076,1.0,0.002134938369701578,0.0020833333333333333,0.19259282044972165,False
petPM(mm)_lag2,petPM(mm)_lag2,0.10412501153526717,0.43665872007977147,1.0,0.002134938369701578,0.0020833333333333333,0.10412501153526717,False
precipitation(mm)_lag0,precipitation(mm)_lag0,0.4260051062782615,0.0008556619383734098,0.020535886520961832,0.002134938369701578,0.0020833333333333333,0.4260051062782615,True
precipitation(mm)_lag1,precipitation(mm)_lag1,0.42717401335014926,0.0008250043628518173,0.019800104708443615,0.002134938369701578,0.0020833333333333333,0.42717401335014926,True
precipitation(mm)_lag2,precipitation(mm)_lag2,0.24224061029253444,0.06693929714541669,1.0,0.002134938369701578,0.0020833333333333333,0.24224061029253444,False
